	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
986	MF598676	MF598676.1	MF598676	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
987	MF598677	MF598677.1	MF598677	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
988	MF598678	MF598678.1	MF598678	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
989	MF598679	MF598679.1	MF598679	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
990	MF598680	MF598680.1	MF598680	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
991	MF598681	MF598681.1	MF598681	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
992	MF598682	MF598682.1	MF598682	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
993	MF598683	MF598683.1	MF598683	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
994	MF598684	MF598684.1	MF598684	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
995	MF598685	MF598685.1	MF598685	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
996	MF598686	MF598686.1	MF598686	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
997	MF598687	MF598687.1	MF598687	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
998	MF598688	MF598688.1	MF598688	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
999	MF598689	MF598689.1	MF598689	2015-03-XX	Asia	United Arab Emirates			30121	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1000	MF598690	MF598690.1	MF598690	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1001	MF598691	MF598691.1	MF598691	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1002	MF598692	MF598692.1	MF598692	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1003	MF598693	MF598693.1	MF598693	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1004	MF598694	MF598694.1	MF598694	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1005	MF598695	MF598695.1	MF598695	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1006	MF598696	MF598696.1	MF598696	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1007	MF598697	MF598697.1	MF598697	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1008	MF598698	MF598698.1	MF598698	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1009	MF598699	MF598699.1	MF598699	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1010	MF598700	MF598700.1	MF598700	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1011	MF598701	MF598701.1	MF598701	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1012	MF598702	MF598702.1	MF598702	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1013	MF598703	MF598703.1	MF598703	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1014	MF598704	MF598704.1	MF598704	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1015	MF598705	MF598705.1	MF598705	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1016	MF598706	MF598706.1	MF598706	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1017	MF598707	MF598707.1	MF598707	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1018	MF598708	MF598708.1	MF598708	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1019	MF598709	MF598709.1	MF598709	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1020	MF598710	MF598710.1	MF598710	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1021	MF598711	MF598711.1	MF598711	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1022	MF598712	MF598712.1	MF598712	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1023	MF598713	MF598713.1	MF598713	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
1024	MF598714	MF598714.1	MF598714	2015-04-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
